Object ID,Name,Centroid X µm,Centroid Y µm,Cell: CD15 (Opal 620) mean,Cell: H3Cit (Opal 690) mean,Cell: DAPI (DAPI) mean,Cell: CK (Alexa 488) mean,Cell: CD8 (Cy3) mean,Cell: MPO (Cy5) mean
ca21e800-bd69-4170-9d0d-5e6bcb602cf5,PathCellObject,970.11,172.44,0.187,0.0999,0.4249,0.0193,0.2391,0.2912
af15bac5-c869-429a-a7c6-b9c3ea8ce672,PathCellObject,841.12,171.6,0.0173,0.0085,0.0798,0.0216,0.0874,0.0327
fa7ea0ea-f52c-4313-aa49-89f7869dca44,PathCellObject,935.44,175.14,0.1133,0.0852,0.5743,0.0001,0.2266,0.302
2b930eba-821f-42bf-91fd-d1dd63151e07,PathCellObject,963.67,172.17,0.1884,0.1776,0.1819,0.0122,0.2063,0.4024
d1d8f3ee-0026-47da-ae88-c47cd7a134b4,PathCellObject,923.15,173.89,0.1172,0.0605,0.5042,0,0.1832,0.1839
2a0c6f2c-a7a8-4b16-980e-dfbafd99385e,PathCellObject,1013.1,175.01,0.052,0.0183,0.173,0.0021,0.1724,0.0747
133e92b3-10e4-4177-add0-e84590ee62fc,PathCellObject,947.11,174.32,0.0939,0.0541,0.1807,0.0057,0.1653,0.1955
0bc333bf-08c6-45a7-a6e2-a687c3a62b56,PathCellObject,982.02,171.99,0.2934,0.2439,0.1717,0.0008,0.2767,0.5449
2b97894f-32f3-4c85-86cd-d068c36db919,PathCellObject,881.02,176.03,0.0253,0.0123,0.3879,0.0092,0.1827,0.0243
76446576-6aa5-4ce0-adf0-7620f8e63e38,PathCellObject,846.45,175.97,0.0139,0.007,0.1768,0.0241,0.097,0.0136
bdf7655c-44d7-4d59-8364-22f94d18866e,PathCellObject,989.47,173.25,0.3187,0.183,0.3847,0,0.2517,0.4829
2ce1f500-aa73-444a-9b0d-5f16c7458552,PathCellObject,761.82,175.52,0.017,0.0077,0.3046,0.0161,0.1057,0.0191
0a72c807-4dc9-4ee5-9b60-23c7ec3e84be,PathCellObject,768.98,174.18,0.0217,0.0113,0.3564,0.0217,0.1419,0.0275
f6524a4b-701d-4dc5-8b62-cd652f929621,PathCellObject,792.38,173.46,0.0251,0.0119,0.3628,0.0132,0.1401,0.0241
b13bf3c9-48bc-45f2-a03d-fb83808134c2,PathCellObject,955.49,174.34,0.1033,0.0769,0.1589,0.0182,0.1621,0.1727
